Device Name,IP Address,Site,Manufacturer,Model,IOS Version,Region
SGDC1SS13G1-CVXCORE,139.65.139.86,SGDC1,Cisco,Cisco Nexus 7000 Series,6.2(12),APAC
SGDC1SS13G1-DMZ,139.65.139.90,SGDC1,Cisco,Cisco Nexus 7000 Series,6.2(12),APAC
SGDC1SS14G2,139.65.139.85,SGDC1,Cisco,Cisco Nexus 7000 Series,6.2(12),APAC
SGDC1SS14G2-CVXCORE,139.65.139.87,SGDC1,Cisco,Cisco Nexus 7000 Series,6.2(12),APAC
SGDC1SS14G2-DMZ,139.65.139.91,SGDC1,Cisco,Cisco Nexus 7000 Series,6.2(12),APAC
SGDC1SS1H1,146.40.10.90,SGDC1,Cisco,Cisco Nexus 5548,7.3(3)N1(1),APAC
SGDC1SS2H2,146.40.10.91,SGDC1,Cisco,Cisco Nexus 5548,7.3(3)N1(1),APAC
SGDC1SS5G6,139.65.139.60,SGDC1,Cisco,Cisco Nexus 7000 Series,6.2(18),APAC
SGDC1SS5G6-CVXCORE,139.65.139.61,SGDC1,Cisco,Cisco Nexus 7000 Series,6.2(18),APAC
SGDC1SS5G6-L3CORE,139.65.139.63,SGDC1,Cisco,Cisco Nexus 7000 Series,6.2(18),APAC
SGDC1SS5G8,139.65.139.65,SGDC1,Cisco,Cisco Nexus 7000 Series,6.2(18),APAC
SGDC1SS5G8-CVXCORE,139.65.139.66,SGDC1,Cisco,Cisco Nexus 7000 Series,6.2(18),APAC
SGDC1SS5G8-L3CORE,139.65.139.68,SGDC1,Cisco,Cisco Nexus 7000 Series,6.2(18),APAC
SGDC1SS6G6,139.65.139.70,SGDC1,Cisco,Cisco Nexus 5548,7.3(3)N1(1),APAC
SGDC1SS6G8,139.65.139.71,SGDC1,Cisco,Cisco Nexus 5548,7.3(3)N1(1),APAC
SGDC1SS7G6,139.65.139.72,SGDC1,Cisco,Cisco Nexus 5548,7.3(3)N1(1),APAC
SGDC1SS7G8,139.65.139.73,SGDC1,Cisco,Cisco Nexus 5548,7.3(3)N1(1),APAC
SGDC1SS8H1,139.65.139.74,SGDC1,Cisco,Cisco Nexus 5548,7.3(3)N1(1),APAC
SGDC1SS8H2,139.65.139.75,SGDC1,Cisco,Cisco Nexus 5548,7.3(3)N1(1),APAC
SGDC1VWC-01,146.40.2.114,SGDC1,Cisco,Cisco L-AIR-CTVM-5-K9,None,APAC
SGDC1WC-03,146.40.10.186,SGDC1,Cisco,WLC 5520,None,APAC
SGDCHRSSUCCX1,146.44.11.205,,Cisco,Cisco Unified Communications Manager,None,APAC
SGJRBCDMZSL01,146.40.21.4,SGJR,Cisco,Cisco Catalyst 2960CX-8TC-L Switch,15.2(4)E5,APAC
SGJRBCSL01,146.40.21.1,SGJR,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,16.9.2,APAC
SGJRBCSL02,146.40.21.2,SGJR,Cisco,Cisco Catalyst 38xx stack,16.9.2,APAC
SGJRBCSL03,146.40.21.3,SGJR,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,16.9.2,APAC
SGJRBCWC01,146.40.21.7,SGJR,Cisco,Cisco 3504 Wireless LAN Controller,None,APAC
SGJRBCWCSL01,146.40.21.5,SGJR,Cisco,Cisco Catalyst 2960CX-8TC-L Switch,15.2(4)E5,APAC
SGJRBCWCSL02,146.40.21.6,SGJR,Cisco,Cisco Catalyst 2960CX-8TC-L Switch,15.2(4)E5,APAC
SGJRDMVSL3,146.40.23.34,SGJR,Cisco,Cisco Catalyst 38xx stack,16.12.7,APAC
SGJRGA1,146.44.72.4,SGJR,Cisco,VG310,15.6(3)M,APAC
SGJRGA2,146.44.72.5,SGJR,Cisco,VG310,15.9(3)M6,APAC
SGJRGA3,146.40.23.250,SGJR,Cisco,Cisco 4431 ISR,16.12.4,APAC
SGJRGA4,146.40.23.251,SGJR,Cisco,Cisco 4431 ISR,16.12.4,APAC
SGJRGOFLR1RG1,146.40.22.4,SGJR,Cisco,Cisco Catalyst 4506-E,03.08.05.E RELEASE SOFTWARE (fc2),APAC
SGJRGOFLR2RG2,146.40.22.3,SGJR,Cisco,Cisco Catalyst 4506-E,03.08.05.E RELEASE SOFTWARE (fc2),APAC
SGJRGOFLR2RG3,146.40.22.2,SGJR,Cisco,Cisco Catalyst 4506-E,03.08.05.E RELEASE SOFTWARE (fc2),APAC
SGJRGOSL7,146.40.22.6,SGJR,Cisco,Cisco Catalyst 38xx stack,16.9.5,APAC
SGJRLBSL5,146.40.22.20,SGJR,Cisco,Cisco Catalyst 38xx stack,16.9.5,APAC
SGJRLOBPSL4,146.40.23.66,SGJR,Cisco,Cisco Catalyst 38xx stack,16.9.5,APAC
SGJRLOBPSL5,146.40.23.67,SGJR,Cisco,Cisco Catalyst 38xx stack,16.9.5,APAC
