Device Name,Error,IOS Version,IP Address,Manufacturer,Model,Region,Site,ios version
AS-SG-SIN-SINQX1-RE30,,17.6.3a,146.46.190.185,Cisco,Cisco,APAC,SINCQX1,Cisco IOS XE Software
AS-SG-SINQX1-SE01V,,17.6.4,146.46.190.152,Cisco,Catalyst 9500-48Y4C,APAC,,Cisco IOS XE Software
AU-NSW-F08734-RB1,,17.6.3a,139.65.183.20,Cisco,Cisco,APAC,F08734,Cisco IOS XE Software
AU-NSW-F08734-RB2,,17.6.3a,139.65.183.21,Cisco,Cisco,APAC,F08734,Cisco IOS XE Software
BD-13-DSCR-SL09,,17.3.5,146.40.157.129,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F30831,Cisco IOS XE Software
BD-13-F30831-SL143,,16.12.4,10.45.41.5,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F30831,Cisco IOS XE Software
BD-13-F30831-SL152,,16.12.4,10.45.43.4,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F30831,Cisco IOS XE Software
BHUINRE1,,17.6.3a,144.5.171.253,Cisco,Cisco 4351 ISR,APAC,BHUIN,Cisco IOS XE Software
CDBCHQSL11,,16.9.4,10.45.33.1,Cisco,Cisco Catalyst 9300 Series Switch,APAC,CDBCHQ,Cisco IOS XE Software
CDBCHQSL12,,16.8.1a,10.45.33.5,Cisco,Cisco Catalyst 9300 Series Switch,APAC,CDBCHQ,Cisco IOS XE Software
CN-BJ-BEICC-RL01,,17.3.3,146.40.148.1,Cisco,Cisco Catalyst 9300 Series Switch,APAC,BEIC,Cisco IOS XE Software
CNBJSL01,,16.12.7,146.40.148.26,Cisco,Cisco Catalyst 38xx stack,APAC,CNBJ,Cisco IOS XE Software
CNGZSL1,,17.3.5,146.40.140.2,Cisco,Cisco Catalyst 9300 Series Switch,APAC,CNGZ,Cisco IOS XE Software
CNGZSL2,,17.3.5,146.40.140.3,Cisco,Cisco Catalyst 9300 Series Switch,APAC,CNGZ,Cisco IOS XE Software
F06091SL1,,16.12.7,146.40.209.3,Cisco,Cisco Catalyst 38xx stack,APAC,F06091,Cisco IOS XE Software
F07058-D49-PL29B,,7.3(3)N1(1),134.248.222.12,Cisco,Cisco Nexus 5548,APAC,F07058,"^
% Invalid command at '^' marker."
F07058-E35-HSL25B,,7.3(3)N1(1),134.248.222.82,Cisco,Cisco Nexus 5548,APAC,F07058,"^
% Invalid command at '^' marker."
F07058-H51-AS23-HS,,6.2(16),134.248.222.52,Cisco,Cisco Nexus 7000 Series,APAC,F07058,"^
% Invalid command at '^' marker."
F07058-L25-PL45,,7.3(3)N1(1),134.248.222.104,Cisco,Cisco Nexus 5548,APAC,F07058,"^
% Invalid command at '^' marker."
F07058-O25-PL45,,7.3(3)N1(1),134.248.222.106,Cisco,Cisco Nexus 5548,APAC,F07058,"^
% Invalid command at '^' marker."
F07058-T35-EL27A,,7.3(3)N1(1),134.248.222.79,Cisco,Cisco Nexus 5548,APAC,F07058,"^
% Invalid command at '^' marker."
F07058-T35-HSL25A,,7.3(3)N1(1),134.248.222.81,Cisco,Cisco Nexus 5548,APAC,F07058,"^
% Invalid command at '^' marker."
F07058-T43-HSL26A,,7.3(3)N1(1),134.248.222.32,Cisco,Cisco Nexus 5596 UP,APAC,F07058,"^
% Invalid command at '^' marker."
F07058-T43-PL24A,,7.3(3)N1(1),134.248.222.13,Cisco,Cisco Nexus 5548,APAC,F07058,"^
% Invalid command at '^' marker."
F07058-T43-PL28A,,7.3(3)N1(1),134.248.222.30,Cisco,Cisco Nexus 5596 UP,APAC,F07058,"^
% Invalid command at '^' marker."
F07245CE1,,17.3.5,146.40.139.248,Cisco,Cisco 4431 ISR,APAC,F07245,Cisco IOS XE Software
F07245SL1,,16.12.7,146.40.139.2,Cisco,Cisco Catalyst 38xx stack,APAC,F07245,Cisco IOS XE Software
F07245SL2,,16.12.7,146.40.139.6,Cisco,Cisco Catalyst 38xx stack,APAC,F07245,Cisco IOS XE Software
F07925SL1,,16.12.7,146.40.138.4,Cisco,Cisco Catalyst 38xx stack,APAC,F07925,Cisco IOS XE Software
F08628RE1,,16.3.5,144.5.196.227,Cisco,Cisco 4331 ISR,APAC,F08628,Cisco IOS XE Software
F08675GA1,,16.3.5,10.44.7.248,Cisco,Cisco 4431 ISR,APAC,F08675,Cisco IOS XE Software
F08675RL2,,15.5(3)S6b,10.45.15.253,Cisco,Cisco ASR 1002,APAC,F08675,Cisco IOS XE Software
F08675SL12S1,,16.9.5,10.45.6.4,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,Cisco IOS XE Software
F08675SL12S2,,16.9.5,10.45.6.5,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,Cisco IOS XE Software
F08675SL13N-CIC1,,16.9.4,10.45.8.8,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,APAC,F08675,Cisco IOS XE Software
F08675SL13N1,,16.9.4,10.45.8.6,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,Cisco IOS XE Software
F08675SL13N2,,16.9.4,10.45.8.7,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,Cisco IOS XE Software
F08675SL13S1,,16.9.4,10.45.8.4,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,Cisco IOS XE Software
F08675SL13S2,,16.9.4,10.45.8.5,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,Cisco IOS XE Software
F08849CE1,,16.12.4,146.40.138.247,Cisco,Cisco 4431 ISR,APAC,F08849,Cisco IOS XE Software
F08849RG1,,17.3.5,146.40.173.1,Cisco,Catalyst 9500-48Y4C,APAC,F08849,Cisco IOS XE Software
F08849SL1,,17.3.5,146.40.173.6,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08849,Cisco IOS XE Software
F08849SL10,,17.3.4,146.40.174.132,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08849,Cisco IOS XE Software
F08849SL11,,16.12.8,146.40.173.15,Cisco,Cisco Catalyst 38xx stack,APAC,F08849,Cisco IOS XE Software
