Device Name,Error,IOS Version,IP Address,Manufacturer,Model,Region,Site,ios version
CNGZSL2,,17.3.5,146.40.140.3,Cisco,Cisco Catalyst 9300 Series Switch,APAC,CNGZ,Cisco IOS XE Software
CNTJBCSL2,Cannot connect to 146.40.147.198,15.2(4)E5,146.40.147.198,Cisco,Cisco Catalyst 29xxStack,APAC,CNTJ,
CNTJCE01,Cannot connect to 146.40.145.250,16.12.4,146.40.145.250,Cisco,Cisco 4431 ISR,APAC,CNTJ,
CNTJCE02,Cannot connect to 146.40.145.251,16.12.4,146.40.145.251,Cisco,Cisco 4431 ISR,APAC,CNTJ,
CNTJDMZSL01,Cannot connect to 146.40.147.204,15.2(4)E5,146.40.147.204,Cisco,Cisco Catalyst 2960CX-8TC-L Switch,APAC,CNTJ,
CNTJGA02,Cannot connect to 146.44.117.254,16.12.4,146.44.117.254,Cisco,Cisco ISR4451,APAC,CNTJ,
CNTJSL02,Cannot connect to 146.40.145.8,15.2(4)E9,146.40.145.8,Cisco,Cisco Catalyst 29xxStack,APAC,CNTJ,
CNTJSL03,Cannot connect to 146.40.145.9,15.2(4)E9,146.40.145.9,Cisco,Cisco Catalyst 29xxStack,APAC,CNTJ,
CNTJSL06,Cannot connect to 146.40.145.11,15.2(4)E9,146.40.145.11,Cisco,Cisco Catalyst 29xxStack,APAC,CNTJ,
F06065CE1,Cannot connect to 146.40.108.252,15.5(3)M6a,146.40.108.252,Cisco,Cisco 3925K9,APAC,F06065,
F06065FR1,Cannot connect to 146.40.109.253,16.12.4,146.40.109.253,Cisco,Cisco 4431 ISR,APAC,F06065,
F06065GA1,Cannot connect to 146.40.108.254,15.5(3)M6a,146.40.108.254,Cisco,Cisco 3925K9,APAC,F06065,
F06065SL1,Cannot connect to 146.40.93.2,03.08.05.E RELEASE SOFTWARE (fc2),146.40.93.2,Cisco,Cisco Catalyst 4506-E,APAC,F06065,
F06065SL2,Cannot connect to 146.40.93.3,03.08.05.E RELEASE SOFTWARE (fc2),146.40.93.3,Cisco,Cisco Catalyst 4506-E,APAC,F06065,
F06091BCSL01,Cannot connect to 146.40.209.129,16.9.4,146.40.209.129,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,APAC,F06091,
F06091BCWCSL01,Cannot connect to 146.40.209.135,15.2(4)E5,146.40.209.135,Cisco,Cisco Catalyst 2960CX-8TC-L Switch,APAC,F06091,
F06091RL1,Cannot connect to 146.40.209.251,15.7(3)M5,146.40.209.251,Cisco,Cisco 2921K9,APAC,F06091,
F06091SL1,Cannot connect to 146.40.209.3,16.12.7,146.40.209.3,Cisco,Cisco Catalyst 38xx stack,APAC,F06091,
F06299RE1,Cannot connect to 144.5.199.129,15.5(3)M7,144.5.199.129,Cisco,Cisco 2911K9,APAC,F06299,
